요리명,탄수화물(g/100g),단백질(g/100g),지방(g/100g),코멘트
파인애플볶음밥정식,25.7,11.3,11.1,"""파인애플볶음밥정식

파인애플볶음밥정식은 정제된 흰쌀과 기름에 볶은 요리로 당지수가 높습니다. 파인애플은 천연당이 풍부해 혈당을 빠르게 올릴 수 있고, 볶음밥에 들어가는 햄이나 소시지는 가공육으로 포화지방과 나트륨 함량이 높습니다. 다이어트 중이라면 현미로 대체하고, 파인애플 양을 줄이며, 가공육 대신 닭가슴살이나 두부를 사용하세요. 정식에 포함된 반찬도 튀김이나 기름진 것보다 채소 위주로 선택하는 것이 좋습니다."""
차돌박이그라탱,22.5,11.7,14.1,"""차돌박이그라탱, ""고단백 소고기와 치즈가 풍부해 단백질은 좋지만, 치즈의 포화지방과 나트륨 함량이 매우 높습니다. 차돌박이의 지방도 상당해 총 칼로리가 높은 편입니다. 다이어트 중이라면 저지방 치즈를 사용하고 차돌박이는 기름을 충분히 제거하세요. 크림소스 대신 토마토 베이스나 저지방 요거트 소스로 대체하고, 곁들임으로 식이섬유가 풍부한 채소를 추가하는 것이 좋습니다."""
유자소스닭구이피자,31.3,18.3,7.4,"""유자소스닭구이피자, ""피자 도우는 정제된 밀가루로 만들어져 혈당을 빠르게 올릴 수 있습니다. 닭고기는 양질의 단백질을 제공하지만, 치즈는 포화지방과 칼로리가 높습니다. 유자소스에는 설탕이 첨가되어 있어 당 섭취를 증가시킵니다. 다이어트 중이라면 도우를 통밀이나 저탄수화물 대체품으로 바꾸고, 치즈양을 줄이며, 유자소스는 직접 만들어 당도를 조절하는 것이 좋습니다. 일주일에 한 번 이하로 소량만 즐기세요."""
훈제오리스프,36.3,8.6,11.6,"""훈제오리스프

오리고기는 양질의 단백질을 제공하지만 지방 함량이 다소 높습니다. 훈제 공정에서 발암물질이 생성될 수 있으니 섭취 빈도에 주의하세요. 스프에 들어가는 야채는 식이섬유와 비타민을 제공하는 장점이 있습니다. 다이어트 중이라면 오리 껍질을 제거하고 기름을 걷어내어 지방을 줄이세요. 크림이나 버터 대신 야채 육수를 베이스로 사용하고, 소금 대신 허브로 맛을 내면 나트륨 섭취를 줄일 수 있습니다."""
데리야끼삼겹살스테이크,14.7,8.7,2.7,"""데리야끼삼겹살스테이크, **데리야끼삼겹살스테이크**, 

고단백 식품이지만 삼겹살은 포화지방과 콜레스테롤이 매우 높습니다. 데리야끼 소스는 당분이 많아 혈당을 급상승시킬 수 있어요. 다이어트 중이라면 삼겹살 대신 지방이 적은 돼지 안심이나 닭가슴살로 대체하고, 소스는 저당 버전을 사용하거나 직접 만들어 당분을 조절하세요. 기름을 충분히 제거하고 구운 채소를 곁들여 영양 밸런스를 맞추는 것이 좋습니다. 식사 후 가벼운 유산소 운동으로 혈당 관리를 하세요."""
순두부찌개리조또,28,6.5,13.7,"""순두부찌개리조또

순두부찌개리조또는 정제된 쌀로 만든 리조또 베이스에 순두부가 더해진 퓨전 요리입니다. 순두부는 저칼로리 고단백 식품이라 좋지만, 리조또 베이스의 높은 정제 탄수화물과 크림, 치즈 등의 포화지방이 다이어트에 불리합니다. 또한 국물에 들어가는 고추장이나 양념에 당분이 포함될 수 있습니다. 개선점으로 현미를 사용하고, 크림 대신 두유나 저지방 우유를 활용하며, 해산물이나 채소를 풍성하게 넣어 영양 밸런스를 맞추세요."""
찜닭샐러드,28.7,18.7,13.2,"""찜닭샐러드, ""단백질이 풍부한 닭고기와 각종 채소를 함께 섭취할 수 있는 좋은 식단입니다. 소스에 따라 달라지지만 일반적인 찜닭 양념에는 당분이 높을 수 있으니 소스 양을 줄이거나 저당 버전을 선택하세요. 가능하다면 껍질을 제거한 닭가슴살을 사용하여 포화지방을 줄이고, 당면은 최소화하거나 제외하는 것이 좋습니다. 드레싱 대신 레몬즙이나 식초를 활용하면 칼로리를 크게 줄일 수 있어 다이어트에 더 효과적입니다."""
간장치킨정식,38.2,13.5,5.6,"""간장치킨정식

단백질 함량이 높은 닭고기는 다이어트에 좋지만, 간장 소스에 설탕이 많이 들어가 숨겨진 당분이 상당합니다. 튀김 대신 구운 치킨으로 선택하면 불필요한 기름을 줄일 수 있어요. 흰 쌀밥은 혈당을 빠르게 올리니 현미로 대체하거나 양을 줄이세요. 반찬 중 나트륨 함량이 높은 것들이 있을 수 있으니 신선한 채소 반찬 비중을 높이고, 소스는 따로 요청해서 양을 조절하는 것이 좋습니다."""
차돌박이덮밥,34.1,17.9,11.6,"""차돌박이덮밥

차돌박이덮밥은 단백질이 풍부하지만, 소고기 차돌박이에 함유된 포화지방과 콜레스테롤 함량이 높습니다. 흰 쌀밥은 혈당을 급격히 올릴 수 있어 다이어트에 불리합니다. 간장, 설탕 기반의 소스도 당분이 높은 편이죠. 개선방안으로는 현미밥으로 대체하고, 차돌박이는 기름을 충분히 제거한 후 적정량만 섭취하세요. 양파, 버섯, 파프리카 등 채소를 풍성하게 넣고, 소스는 저당 간장이나 식초를 활용해 맛을 내는 것이 좋습니다."""
유자소스닭구이샐러드,36.4,19.7,3.1,"""유자소스닭구이샐러드

단백질이 풍부한 닭고기와 다양한 채소를 함께 섭취할 수 있는 균형 잡힌 메뉴입니다. 다만 유자소스에 함유된 설탕이나 꿀 등의 첨가당을 주의하세요. 이는 불필요한 당분과 칼로리를 추가할 수 있습니다. 다이어트 중이라면 소스를 따로 요청하여 적당량만 사용하거나, 레몬즙과 식초, 올리브오일을 활용한 드레싱으로 대체하는 것이 좋습니다. 닭고기는 껍질을 제거하면 포화지방을 줄일 수 있어 더욱 다이어트 친화적인 식사가 됩니다."""
두부김치스테이크,19.7,12.2,14.6,"""두부김치스테이크, ""단백질이 풍부한 두부와 발효식품인 김치의 조합으로 영양가 높은 선택입니다. 두부는 저지방 고단백 식품으로 포만감을 주며, 김치는 프로바이오틱스가 풍부합니다. 다만 스테이크 조리 과정에서 기름 사용량과 간장, 설탕 등의 양념에 주의하세요. 김치의 짠맛과 매운맛을 활용해 양념을 줄이고, 올리브오일이나 에어프라이어 사용으로 기름 섭취를 최소화하면 다이어트에 더욱 적합한 메뉴가 됩니다."""
오삼불고기피자,38.7,10.2,2.9,"""오삼불고기피자

피자 도우는 정제된 밀가루로 만들어져 혈당을 급격히 올리고, 치즈는 포화지방과 나트륨 함량이 높습니다. 오징어와 삼겹살은 단백질을 제공하지만, 삼겹살은 포화지방이 많고 불고기 양념에는 당분이 함유되어 있습니다. 다이어트 중이라면 씬 크러스트나 통밀 도우로 대체하고, 치즈양을 줄이며, 삼겹살보다는 오징어나 저지방 단백질을 더 많이 넣은 버전을 선택하세요. 주 1회 이하로 소량만 즐기는 것이 좋습니다."""
닭갈비정식,34.6,9.2,13.6,"""닭갈비정식

닭갈비정식은 단백질이 풍부한 닭고기가 주재료라 근육 유지에 좋습니다. 하지만 양념에 고추장과 설탕이 많이 들어가 숨겨진 당분이 높고, 기름에 볶아내 지방 함량도 상당합니다. 흰 쌀밥과 함께 제공되어 정제 탄수화물 섭취량이 많아집니다. 다이어트 중이라면 양념을 덜 묻힌 부위를 선택하고, 밥 양을 줄이거나 현미로 대체하세요. 또한 함께 나오는 찌개나 반찬의 염분도 주의하며, 야채 위주로 섭취하는 것이 좋습니다."""
크림스튜정식,33.8,9.3,3.8,"""크림스튜정식""

크림 베이스의 스튜는 버터, 생크림으로 만들어 포화지방과 칼로리가 높습니다. 백미 기반 식사에 크림소스가 더해져 혈당 상승도 빠른 편입니다. 다이어트 중이라면 저지방 우유나 두유로 크림을 대체하고, 흰쌀밥은 현미로 바꾸는 것이 좋습니다. 스튜에 단백질(닭가슴살)과 다양한 채소를 많이 넣어 포만감을 높이고, 식사 전 채소 샐러드를 먼저 섭취해 전체 칼로리 섭취량을 조절하세요."""
찜닭덮밥,33.8,13.8,9.9,"""찜닭덮밥

찜닭덮밥은 단백질 함량이 높은 닭고기가 주재료지만, 흰 쌀밥 위에 달콤한 소스가 있어 정제 탄수화물과 당분 섭취가 많습니다. 소스에는 설탕이나 물엿이 다량 함유되어 있어 혈당 급상승을 유발할 수 있습니다. 다이어트 중이라면 현미밥으로 대체하고, 소스양을 줄이거나 저당 버전으로 만드는 것이 좋습니다. 당근, 양파 등 채소 비중을 늘리고 닭 껍질은 제거하여 포화지방을 줄이세요. 식사 후 가벼운 운동으로 혈당 관리를 하는 것도 추천합니다."""
고추장닭볶음정식,40,12.2,6.8,"""고추장닭볶음정식, ""단백질이 풍부한 닭고기가 주재료지만, 고추장에 함유된 당분과 흰 쌀밥의 정제 탄수화물이 혈당을 빠르게 올릴 수 있습니다. 고추장 소스는 설탕이 추가되어 있어 칼로리와 당분 섭취가 우려됩니다. 다이어트 중이라면 현미밥으로 대체하고, 소스양을 줄이거나 직접 만든 저당 고추장 소스를 활용하세요. 반찬으로 나오는 튀김이나 전은 피하고 채소 위주의 반찬을 선택하는 것이 좋습니다."""
훈제오리스튜,11.8,14,2.6,"""훈제오리스튜

오리고기는 양질의 단백질 공급원이지만, 피하지방이 많아 포화지방 함량이 높습니다. 훈제 과정에서 발암물질이 생성될 수 있으니 섭취 빈도에 주의하세요. 스튜에 들어가는 야채는 영양소와 식이섬유를 제공하지만, 소스에 설탕이나 밀가루가 포함되어 있다면 당분과 정제 탄수화물 섭취가 증가합니다. 다이어트 중이라면 오리 껍질을 제거하고, 저당 소스를 사용하며, 전분 대신 식이섬유가 풍부한 채소를 더 많이 넣어 개선할 수 있습니다."""
간장치킨샐러드,10.8,16.3,8.2,"""간장치킨샐러드

단백질이 풍부한 치킨과 다양한 채소가 조화로운 건강식이지만, 간장 소스에 당분이 포함되어 있을 수 있습니다. 저당 또는 저염 간장을 사용하고 꿀이나 설탕 첨가량을 줄이세요. 닭고기는 가급적 껍질을 제거한 가슴살로 준비하면 포화지방을 줄일 수 있습니다. 드레싱은 별도로 준비해 양을 조절하고, 견과류나 아보카도를 소량 추가하면 건강한 지방 섭취가 가능합니다. 전반적으로 다이어트 식단으로 우수한 선택입니다."""
간장치킨리조또,27.8,17.1,12.4,"""간장치킨리조또

정제된 쌀로 만든 리조또는 당지수가 높고, 간장 소스에는 나트륨과 당분이 함유되어 있습니다. 치킨은 양질의 단백질 공급원이지만, 피부를 제거하고 조리하는 것이 지방 섭취를 줄이는 데 도움이 됩니다. 버터나 치즈가 들어간다면 포화지방 함량이 높아질 수 있으니 주의하세요. 개선방안으로는 현미나 퀴노아로 대체하고, 저염 간장을 사용하며, 버섯이나 채소를 추가해 식이섬유를 보충하는 것이 좋습니다."""
해물짬뽕정식,12.5,18.8,14.7,"""해물짬뽕정식

해물짬뽕은 해산물의 고품질 단백질과 다양한 채소가 포함된 영양가 있는 메뉴입니다. 그러나 면은 정제된 밀가루로 만들어져 혈당 상승을 유발할 수 있습니다. 짬뽕 국물은 기름에 볶은 재료와 나트륨이 높아 칼로리와 염분 섭취에 주의가 필요합니다. 다이어트 중이라면 면의 양을 줄이고 해물과 채소 위주로 먹되, 국물은 반만 마시는 것이 좋습니다. 정식에 포함된 밥과 반찬의 양도 조절하여 전체 탄수화물 섭취량을 관리하세요."""
찜닭피자,16.3,7.5,14.6,"""찜닭피자

찜닭과 피자의 결합은 고탄수화물(피자 도우)과 고단백질(닭고기)이 만난 칼로리 폭탄입니다. 피자 치즈에 포함된 포화지방과 찜닭 소스의 설탕, 전분이 혈당을 급상승시키고 체중 증가에 직접적 영향을 줍니다. 다이어트 중이라면 통밀 도우로 대체하고, 치즈양을 줄이며, 찜닭 소스는 저당 버전으로 만들어 사용하세요. 일주일에 한 번 이하로 제한적 섭취를 권장하며, 섭취 후엔 유산소 운동으로 칼로리 소모를 늘리는 것이 좋습니다."""
두부김치전골,34.5,9.8,10.2,"""두부김치전골

단백질이 풍부한 두부와 발효식품인 김치의 조합으로 영양가가 높은 요리입니다. 저칼로리 고단백 식품인 두부는 다이어트에 매우 적합하고, 김치의 유산균은 장 건강에 도움을 줍니다. 다만 김치의 나트륨 함량과 전골 육수에 첨가되는 설탕, 고추장에 주의하세요. 다이어트 중이라면 소금이나 간장 대신 다시마나 멸치로 감칠맛을 내고, 기름진 부위의 고기보다 해산물을 추가하는 것이 좋습니다. 배달음식보다 직접 조리해 간을 조절하면 훌륭한 다이어트 식단이 됩니다."""
크림스튜덮밥,25.2,9.5,9.6,"""크림스튜덮밥

크림스튜덮밥은 높은 열량과 포화지방이 많은 식사입니다. 크림 베이스의 소스는 지방 함량이 매우 높고, 흰 쌀밥의 정제된 탄수화물은 혈당을 빠르게 상승시킵니다. 다이어트 중이라면 크림 대신 저지방 우유와 닭고기 육수로 소스를 만들고, 밥은 현미로 대체하세요. 야채 비중을 높이고 단백질 재료를 충분히 넣되, 전체 양을 조절하는 것이 중요합니다. 주 1회 이하로 제한하고 식사 후 가벼운 운동을 권장합니다."""
깐풍기피자,28,17.7,5.4,"""깐풍기피자

높은 칼로리 식품으로 다이어트에 매우 주의가 필요합니다. 피자 도우는 정제된 탄수화물이 많고, 깐풍기의 기름진 튀김옷과 치즈의 포화지방이 결합되어 열량이 매우 높습니다. 소스에는 첨가당과 나트륨이 많이 포함되어 있어요. 다이어트 중이라면 통밀 도우로 변경하고, 튀긴 닭고기 대신 구운 닭가슴살을 사용하며, 저지방 치즈를 적게 뿌려 열량을 낮추는 것이 좋습니다. 가능하면 소식하고 많은 채소와 함께 드세요."""
유자소스닭구이스테이크,28.9,6.1,13.1,"""유자소스닭구이스테이크""는 단백질이 풍부한 닭고기 스테이크에 유자소스를 곁들인 요리입니다. 닭고기는 저지방 고단백 식품으로 다이어트에 매우 적합하지만, 유자소스에는 설탕이나 꿀이 첨가되어 당분 함량이 높을 수 있습니다. 다이어트 중이라면 소스 양을 줄이거나 직접 만들어 당도를 조절하는 것이 좋습니다. 닭 껍질은 제거하여 포화지방을 줄이고, 구이 방식으로 조리하면 추가 오일 사용을 최소화할 수 있습니다. 식이섬유 보충을 위해 채소 반찬을 함께 곁들이는 것을 추천합니다."""
닭날개조림스프,36.7,13,2.7,"""닭날개조림스프

닭날개는 양질의 단백질 공급원이지만, 껍질부분에 포화지방이 다소 높습니다. 조림 방식이라면 설탕과 간장 사용량에 따라 당분과 나트륨 함량이 높아질 수 있으니 주의하세요. 스프 형태의 국물은 수분 섭취에 도움이 되고 포만감을 줍니다. 다이어트 중이라면 껍질을 제거하고, 당류가 적은 저염 육수를 사용하며, 다양한 채소를 넣어 식이섬유를 보충하는 것이 좋습니다. 식사 전 먼저 마시면 자연스러운 식사량 조절에도 도움이 됩니다."""
닭가슴살피자전골,20.2,18.7,7.5,"""닭가슴살피자전골, ""다이어트 친화적인 단백질 공급원인 닭가슴살을 사용한 창의적 요리입니다. 토마토 소스는 리코펜과 항산화제가 풍부하지만, 시판 소스는 첨가당이 많을 수 있으니 홈메이드를 권장합니다. 치즈는 칼슘과 단백질이 풍부하지만 포화지방과 나트륨 함량이 높으니 저지방 모짜렐라를 적당량만 사용하세요. 야채를 다양하게 추가하고, 밀가루 반죽이나 떡 등의 고탄수화물 재료는 줄이면 다이어트에 더 효과적입니다."""
파인애플볶음밥죽,17.7,14.1,11.3,"""파인애플볶음밥죽""은 정제된 쌀로 만든 죽에 파인애플이 첨가된 요리로, 고당도 과일인 파인애플은 자연당을 다량 함유하고 있어 혈당 상승을 유발할 수 있습니다. 죽은 소화가 쉽지만 포만감이 적고 정제된 탄수화물 비중이 높습니다. 다이어트 중이라면 현미로 대체하고, 단백질원(닭가슴살, 두부 등)을 추가하세요. 파인애플은 적정량만 사용하고, 볶음 과정에서 오일 사용을 최소화하는 것이 좋습니다. 식이섬유 보충을 위해 다양한 채소를 함께 섭취하세요."""
깐풍기정식,25.1,6.4,5.5,"""깐풍기정식

깐풍기는 닭고기를 튀겨 매콤달콤한 소스를 입힌 요리로 단백질은 풍부하지만, 튀김 과정에서 포화지방과 칼로리가 크게 증가합니다. 소스에 함유된 설탕과 전분으로 당분 함량이 높고, 정식에 포함된 흰 쌀밥은 혈당을 빠르게 올립니다. 다이어트 중이라면 닭고기는 튀김 대신 오븐구이나 에어프라이어로 조리하고, 소스는 적게 곁들이며, 백미 대신 현미나 잡곡으로 대체하세요. 반찬으로 나오는 채소 위주로 섭취하는 것이 좋습니다."""
카레돈까스전골,11.7,15.5,12.4,"""카레돈까스전골

튀긴 돼지고기 돈까스와 카레 소스가 결합된 고칼로리 요리입니다. 돈까스의 튀김옷은 정제된 탄수화물 함량이 높고, 기름에 튀기는 과정에서 포화지방과 트랜스지방이 증가합니다. 카레 루에는 첨가당과 나트륨이 많이 함유되어 있습니다. 다이어트 중이라면 돈까스를 오븐에 구운 닭가슴살로 대체하고, 시판 카레 대신 향신료와 야채로 직접 소스를 만들어보세요. 채소 비중을 높이고 견과류를 첨가하면 영양 밸런스를 개선할 수 있습니다."""
참치마요우동샐러드,27.8,13.2,4.3,"""참치마요우동샐러드

우동면은 정제된 밀가루로 만들어져 혈당을 빠르게 높이는 고탄수화물 식품입니다. 참치는 양질의 단백질과 오메가-3 지방산이 풍부하지만, 마요네즈는 포화지방과 칼로리가 높아 다이어트에 부담이 됩니다. 다이어트 중이라면 우동 양을 줄이고 통밀 우동이나 곤약 면으로 대체하세요. 마요네즈 대신 그릭 요거트나 저지방 드레싱을 사용하고, 다양한 채소를 추가하여 포만감을 높이는 것이 좋습니다. 참치는 물에 담긴 제품을 선택하세요."""
포크커틀릿전골,13.1,6.7,12.6,"""포크커틀릿전골, **포크커틀릿전골**, ""튀긴 돼지고기에 기름진 육수가 특징인 고칼로리 요리입니다. 포화지방과 나트륨 함량이 매우 높아 심혈관 건강에 부담을 줄 수 있습니다. 다이어트 중이라면 튀김옷을 제거하고 기름에 튀기는 대신 오븐에 구워 지방을 줄이세요. 야채 비중을 늘리고 육수는 기름을 걷어낸 담백한 버전으로 대체하는 것이 좋습니다. 소스에 첨가당이 포함될 수 있으니 간장 베이스의 담백한 소스를 추천합니다."""
참치마요우동정식,30.2,9,8.4,"""참치마요우동정식

탄수화물이 높은 우동면과 고지방 마요네즈의 조합은 다이어트에 큰 부담이 됩니다. 마요네즈는 포화지방과 칼로리가 높고, 우동면은 정제된 밀가루로 만들어 혈당을 급상승시킵니다. 참치는 양질의 단백질 공급원이지만, 마요네즈와 섞여 지방 함량이 증가합니다. 개선방안으로 통밀 우동으로 대체하고, 마요네즈는 요거트나 아보카도로 대체하거나 양을 줄이세요. 식사 후 30분 이상의 유산소 운동을 권장합니다."""
데리야끼삼겹살볶음,22.1,9.5,6.8,"""데리야끼삼겹살볶음

포화지방이 높은 삼겹살에 당분이 많은 데리야끼 소스가 더해져 칼로리가 매우 높은 메뉴입니다. 삼겹살은 양질의 단백질을 제공하지만, 지방 함량이 높아 소량만 섭취하는 것이 좋습니다. 데리야끼 소스는 설탕 함량이 높아 혈당 급상승을 유발할 수 있습니다. 다이어트 중이라면 삼겹살 대신 지방이 적은 닭가슴살이나 돼지 앞다리살로 대체하고, 소스는 저당 버전을 사용하거나 양을 줄이세요. 채소를 풍성하게 곁들여 포만감을 높이는 것도 좋은 방법입니다."""
데리야끼삼겹살죽,27.7,14.2,8.7,"""데리야끼삼겹살죽

탄수화물이 많은 흰쌀 죽에 고지방 삼겹살과 당분이 높은 데리야끼 소스가 더해진 조합입니다. 다이어트 관점에서는 트리플 주의 메뉴예요. 삼겹살은 포화지방이 높고, 데리야끼 소스는 첨가당이 많아 혈당을 급상승시킵니다. 개선하려면 현미죽으로 바꾸고, 삼겹살 대신 닭가슴살이나 돼지 앞다리살을 사용하며, 데리야끼 소스는 저당 버전이나 간장 베이스로 대체하세요. 채소를 함께 넣어 영양균형을 맞추는 것도 좋습니다."""
고구마스프전골,33.1,14.2,13.5,"""고구마스프전골

고구마는 복합 탄수화물과 식이섬유가 풍부해 혈당 상승을 완만하게 만들어주는 장점이 있습니다. 그러나 스프 형태로 제공될 경우 크림이나 버터가 첨가되어 포화지방과 칼로리가 높아질 수 있어요. 전골 재료로 사용되는 육류나 해산물은 단백질 공급원이 되지만, 짠맛을 위한 소금이나 간장 사용 시 나트륨 섭취량이 증가합니다. 다이어트 중이라면 크림 대신 저지방 우유나 두유를 사용하고, 육수는 천연 재료로 우려내어 나트륨을 줄이는 것이 좋습니다."""
훈제연어롤구이,31,6.3,5.9,"""훈제연어롤구이

훈제연어는 오메가-3 지방산이 풍부한 고품질 단백질 공급원입니다. 다만 훈제 과정에서 나트륨이 높아질 수 있으니 주의하세요. 구이 방식은 추가 지방 섭취를 줄여 다이어트에 유리하지만, 소스나 크림치즈를 곁들인다면 포화지방과 칼로리가 증가합니다. 다이어트 중이라면 크림치즈 대신 그릭 요거트를 사용하고, 롤에 들어가는 탄수화물 재료를 줄이거나 신선한 채소를 더 많이 추가하는 것이 좋습니다."""
훈제연어롤덮밥,19.1,13.7,2.1,"""훈제연어롤덮밥

연어는 고품질 단백질과 오메가-3 지방산이 풍부한 우수한 식품이지만, 흰 쌀밥 기반이라 혈당 급상승을 유발할 수 있습니다. 연어의 훈제 과정에서 나트륨이 높아질 수 있으니 주의하세요. 다이어트 중이라면 밥의 양을 줄이거나 현미로 대체하고, 마요네즈나 크림치즈 같은 고지방 소스는 제한하세요. 아보카도를 추가하면 건강한 지방을 보충할 수 있고, 채소를 더 많이 넣어 식이섬유 섭취를 늘리는 것이 좋습니다."""
오삼불고기스테이크,26.5,14.9,11.2,"""오삼불고기스테이크

오징어와 삼겹살을 함께 조리한 고단백 요리지만, 삼겹살의 포화지방 함량이 높아 다이어트 시 주의가 필요합니다. 양념에 들어가는 설탕과 당분이 칼로리를 높이고 혈당 상승을 유발할 수 있습니다. 다이어트 중이라면 삼겹살 대신 지방이 적은 돼지 앞다리살이나 닭가슴살로 대체하고, 양념에 꿀이나 설탕 대신 자연 감미료를 사용하세요. 오징어의 고단백 성분은 근육 유지에 도움이 되니 적절한 양 조절과 함께 채소를 곁들이는 것이 좋습니다."""
버섯스튜그라탱,25.6,14.3,11.8,"""버섯스튜그라탱 

버섯은 저칼로리 고영양 식품이지만, 그라탱에 사용되는 치즈와 크림은 포화지방과 칼로리가 높습니다. 특히 치즈는 나트륨 함량도 높아 수분 정체를 유발할 수 있어요. 다이어트 중이라면 크림 대신 저지방 우유나 그릭요거트를 활용하고, 치즈는 저지방 치즈로 줄여 사용하세요. 밀가루 베샤멜 소스도 혈당을 빠르게 올릴 수 있으니 아몬드 가루나 콜리플라워를 활용한 대체 소스를 고려해보세요. 단백질 보충을 위해 닭가슴살을 함께 곁들이면 좋습니다."""
해물짬뽕전골,11.7,16.5,15,"""해물짬뽕전골

해물짬뽕전골은 풍부한 해산물 단백질과 다양한 채소로 영양소 균형이 좋은 편입니다. 다만 짬뽕 특유의 매운맛을 위한 고추기름과 라면사리 등 정제된 탄수화물이 다이어트에 부담될 수 있습니다. 국물은 나트륨 함량이 높으니 모두 마시지 않는 것이 좋고, 라면사리 대신 곤약면이나 당면으로 대체하면 칼로리를 줄일 수 있습니다. 해산물과 채소 위주로 드시고, 식사 전 채소 샐러드를 먼저 섭취하면 포만감을 높이는 데 도움이 됩니다."""
두부스테이크스프,37.4,13.8,9,"""두부스테이크스프, ""두부는 저칼로리 고단백 식품으로 다이어트에 매우 적합합니다. 콜레스테롤이 없고 포화지방이 적어 심혈관 건강에도 좋습니다. 다만 스테이크 양념이나 스프 베이스에 나트륨과 첨가당이 높을 수 있으니 주의하세요. 소금 대신 허브와 향신료로 맛을 내고, 크림 기반 스프보다 토마토나 채소 베이스를 선택하면 칼로리를 줄일 수 있습니다. 다양한 채소를 함께 넣어 식이섬유와 비타민도 보충하세요."""
해물짬뽕스튜,21.4,15.3,12.2,"""해물짬뽕스튜, ""해산물의 고단백 성분과 다양한 채소가 포함되어 영양소 균형이 좋습니다. 그러나 짬뽕 베이스의 매운맛을 위한 고추기름과 진한 국물에 포화지방이 다소 높을 수 있습니다. 면이 포함된다면 정제된 탄수화물 섭취량에 주의하세요. 다이어트 중이라면 면 대신 곤약면으로 대체하고, 기름기를 걷어낸 후 드시거나 해산물과 채소 위주로 섭취하는 것이 좋습니다. 소금 함량이 높을 수 있으니 나트륨 섭취에도 주의하세요."""
간장계란덮밥볶음,31.8,13.4,7.2,"""간장계란덮밥볶음

간장계란덮밥볶음은 단백질(계란)과 탄수화물(흰쌀밥) 조합의 간편식입니다. 계란은 양질의 단백질 공급원이지만, 흰쌀밥은 정제된 탄수화물로 혈당을 빠르게 올립니다. 간장 소스에는 나트륨과 첨가당이 포함되어 있어 주의가 필요합니다. 다이어트 중이라면 현미로 대체하고, 간장양을 줄이며, 다양한 채소를 추가해 식이섬유를 보충하세요. 소금 대신 허브나 향신료로 맛을 내고, 볶을 때 기름양을 최소화하면 칼로리를 낮출 수 있습니다."""
스파이시닭가슴살그라탱,38.7,9.7,7.5,"""스파이시닭가슴살그라탱

닭가슴살은 우수한 저지방 단백질 공급원이지만, 그라탱에 사용되는 치즈와 크림은 포화지방과 칼로리가 높습니다. 매운 맛은 신진대사를 약간 촉진하는 장점이 있으나, 소스에 첨가당이 포함되어 있을 수 있습니다. 다이어트 중이라면 치즈양을 줄이고 저지방 치즈로 대체하거나, 크림 대신 그릭요거트를 사용해보세요. 곁들이는 전분질 없이 단백질과 섬유질 위주로 구성하면 혈당 급상승 없이 포만감을 유지할 수 있습니다."""
두부김치스튜,20.9,6.5,7.7,"""두부김치스튜

단백질이 풍부한 두부와 식이섬유가 풍부한 김치의 조합으로 포만감이 높은 저칼로리 식단입니다. 두부는 고품질 식물성 단백질 공급원이며 지방 함량이 낮습니다. 다만 김치는 나트륨 함량이 높고, 스튜 형태로 조리 시 추가되는 기름이나 소스에 주의하세요. 다이어트 중이라면 김치의 당을 줄인 버전을 사용하고, 고기 대신 다양한 채소를 추가해 영양소 균형을 맞추는 것이 좋습니다. 매끼 단백질 섭취가 필요한 근력 운동 후 회복식으로도 적합합니다."""
치킨텐더롤피자,28.5,7.4,4.6,"""치킨텐더롤피자 다이어트 코멘트

치킨텐더롤피자는 단백질 함량이 높지만 정제된 밀가루 도우와 치즈의 포화지방, 튀긴 치킨텐더의 트랜스지방 조합으로 칼로리가 매우 높습니다. 소스에 함유된 첨가당과 나트륨 역시 다이어트에 불리합니다. 대안으로는 통밀 또는 칼리플라워 도우 사용, 치킨텐더 대신 구운 닭가슴살 활용, 치즈 양 줄이기가 효과적입니다. 주 1회 이하로 제한적으로 즐기고, 옆에 샐러드를 곁들이는 것이 좋습니다."""
훈제오리리조또,26.3,16,13.8,"""훈제오리리조또

훈제오리는 단백질이 풍부하지만 오리 껍질에 포화지방과 콜레스테롤이 높습니다. 리조또의 아르보리오쌀은 정제된 탄수화물로 당지수가 높아 혈당을 급상승시킬 수 있습니다. 특히 크림과 치즈를 많이 사용하면 칼로리와 포화지방이 매우 높아집니다. 다이어트 중이라면 오리 껍질을 제거하고, 쌀은 현미나 귀리로 대체하며, 크림 대신 저지방 우유나 채소 브로스를 사용하세요. 파르메산 치즈는 소량만 뿌려 풍미를 살리는 것이 좋습니다."""
두부김치구이,16.6,12.5,8.3,"""두부김치구이

영양적으로 매우 우수한 선택입니다. 두부는 저지방 고단백 식품으로 포만감을 주며, 김치는 식이섬유와 프로바이오틱스가 풍부합니다. 다만, 김치에 함유된 나트륨과 구이 과정에서 사용되는 기름에 주의하세요. 다이어트 중이라면 올리브오일이나 코코넛오일 스프레이로 최소한의 기름만 사용하고, 김치는 물에 살짝 헹궈 나트륨을 줄이는 것이 좋습니다. 단백질 함량이 높아 근육 유지에 도움되는 우수한 다이어트 식품입니다."""
